,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
48,chuy,uy,-33.69,-53.46,45.21,90.0,0.0,14.34
49,cidreira,br,-30.17,-50.22,59.97,98.0,100.0,10.16
50,pishin,pk,30.58,67,70.41,19.0,0.0,3.11
51,ribeira grande,pt,38.52,-28.7,69.6,100.0,92.0,8.63
52,ruse,bg,43.85,25.95,62.67,89.0,0.0,1.1
53,dubbo,au,-32.25,148.6,60.8,51.0,0.0,5.82
54,port hardy,ca,50.7,-127.42,59.0,77.0,75.0,8.05
55,padang,id,-0.92,100.36,82.74,100.0,0.0,3.49
56,port alfred,za,-33.59,26.89,59.88,85.0,0.0,11.83
57,jalu,ly,29.03,21.55,76.17,37.0,0.0,9.93
58,ravar,ir,31.27,56.81,72.39,18.0,0.0,2.1
59,bondo,cd,3.81,23.69,68.79,100.0,92.0,2.1
60,hobart,au,-42.88,147.33,55.4,58.0,75.0,10.29
62,dingle,ie,52.14,-10.27,52.86,100.0,0.0,10.54
64,yellowknife,ca,62.45,-114.38,71.6,46.0,75.0,9.17
65,jamestown,sh,-15.94,-5.72,70.41,100.0,88.0,18.14
66,stornoway,gb,58.21,-6.39,48.2,87.0,24.0,6.93
67,marsa matruh,eg,31.35,27.25,77.0,88.0,20.0,8.05
69,olinda,br,-22.82,-43.41,69.1,83.0,0.0,2.24
70,ponta do sol,cv,17.2,-25.09,72.3,100.0,0.0,11.83
71,nemuro,jp,43.32,145.57,68.0,72.0,75.0,3.36
72,morshyn,ua,49.15,23.87,62.6,93.0,75.0,20.13
73,dikson,ru,73.51,80.55,34.32,90.0,0.0,16.58
74,arani,bo,-17.57,-65.77,50.0,39.0,44.0,5.82
75,mar del plata,ar,-46.43,-67.52,41.34,90.0,92.0,7.4
76,nome,us,30.04,-94.42,79.66,83.0,1.0,4.7
77,bathsheba,bb,13.22,-59.52,75.2,94.0,40.0,14.99
78,mount gambier,au,-37.83,140.78,54.12,92.0,0.0,5.23
80,cockburn town,bs,24.03,-74.52,83.46,93.0,24.0,5.61
81,cape town,za,-33.93,18.42,57.2,93.0,75.0,11.41
83,namatanai,pg,-3.66,152.44,81.21,100.0,12.0,4.34
87,jablah,sy,35.36,35.93,77.0,78.0,40.0,9.17
88,the valley,ai,18.22,-63.06,80.6,74.0,40.0,9.17
89,mahebourg,mu,-20.41,57.7,69.8,94.0,40.0,2.24
90,kostroma,ru,57.77,40.93,64.2,72.0,20.0,4.79
91,pacific grove,us,36.62,-121.92,61.79,82.0,1.0,9.17
92,tagusao,ph,9.19,117.81,86.16,90.0,44.0,4.5
93,kasongo-lunda,cd,-6.48,16.82,69.78,77.0,68.0,1.7
94,arys,kz,42.43,68.8,78.8,27.0,0.0,6.71
95,jaleswar,in,21.8,87.22,88.5,81.0,56.0,11.88
97,broken hill,au,-31.97,141.45,57.72,80.0,0.0,5.06
98,severo-kurilsk,ru,50.68,156.12,43.86,93.0,92.0,25.7
99,kodiak,us,39.95,-94.76,68.0,94.0,75.0,5.82
100,prince rupert,ca,54.32,-130.32,57.2,87.0,90.0,3.36
101,guatire,ve,10.47,-66.54,71.31,99.0,68.0,1.99
102,muyezerskiy,ru,63.93,31.65,55.56,52.0,92.0,5.84
103,utica,us,43.1,-75.23,60.8,55.0,1.0,3.36
104,teguldet,ru,57.31,88.17,71.67,54.0,12.0,7.02
105,hambantota,lk,6.12,81.12,77.97,100.0,76.0,13.11
106,hanmer springs,nz,-42.52,172.83,41.16,93.0,0.0,1.88
107,leningradskiy,ru,69.38,178.42,33.78,92.0,0.0,14.18
108,tuktoyaktuk,ca,69.44,-133.03,51.8,57.0,75.0,12.75
109,markapur,in,15.74,79.27,85.26,59.0,12.0,12.55
110,opuwo,na,-18.06,13.84,42.69,56.0,0.0,4.38
111,lahaina,us,20.87,-156.68,83.32,54.0,20.0,13.87
112,pevek,ru,69.7,170.27,49.62,70.0,0.0,1.48
113,malatya,tr,38.35,38.32,69.8,56.0,0.0,4.7
114,olga,ru,43.74,135.29,71.67,61.0,0.0,6.58
115,narsaq,gl,60.91,-46.05,39.2,93.0,92.0,3.36
116,vao,nc,-22.67,167.48,71.22,100.0,80.0,13.4
117,raudeberg,no,61.99,5.14,50.0,81.0,92.0,14.99
118,tasiilaq,gl,65.61,-37.64,39.2,93.0,92.0,3.36
119,norman wells,ca,65.28,-126.83,69.8,64.0,75.0,10.29
120,orissaare,ee,58.56,23.08,52.7,81.0,75.0,14.99
121,lac-megantic,ca,45.58,-70.88,50.0,61.0,1.0,2.26
122,adzope,ci,6.11,-3.86,75.09,84.0,80.0,9.75
123,lebu,cl,-37.62,-73.65,51.6,100.0,88.0,6.58
124,barrow,us,39.51,-90.4,68.0,88.0,75.0,7.02
125,kaitangata,nz,-46.28,169.85,39.36,93.0,0.0,5.84
126,waipawa,nz,-39.94,176.59,47.37,80.0,44.0,3.78
128,ust-kulom,ru,61.69,53.69,61.41,83.0,48.0,6.35
129,beloha,mg,-25.17,45.06,60.06,93.0,0.0,6.8
130,garmsar,ir,35.22,52.34,65.64,42.0,0.0,4.83
131,comodoro rivadavia,ar,-45.87,-67.48,50.0,96.0,0.0,17.22
132,ulaanbaatar,mn,47.92,106.92,73.4,40.0,20.0,8.95
133,honiara,sb,-9.43,159.96,86.0,79.0,40.0,4.7
134,taguatinga,br,-15.83,-48.06,55.4,87.0,0.0,5.01
135,cabra,ph,13.89,120.05,83.82,100.0,64.0,1.1
136,nanortalik,gl,60.14,-45.24,36.57,97.0,68.0,12.1
137,arraial do cabo,br,-22.97,-42.02,69.51,94.0,0.0,9.93
138,chagoda,ru,59.16,35.33,62.94,78.0,48.0,9.93
139,banyuwangi,id,-8.21,114.37,80.67,82.0,64.0,8.63
140,tuatapere,nz,-46.13,167.69,44.04,100.0,0.0,4.56
141,tiznit,ma,29.7,-9.73,61.41,97.0,88.0,3.04
142,luanda,ao,-8.83,13.24,68.34,100.0,12.0,5.01
143,charters towers,au,-20.07,146.27,68.52,80.0,32.0,8.59
144,wuwei,cn,37.93,102.64,74.19,61.0,64.0,3.6
145,berlevag,no,70.86,29.09,44.6,93.0,90.0,5.82
146,dasoguz,tm,41.84,59.97,79.7,36.0,0.0,6.93
147,qaanaaq,gl,77.48,-69.36,29.64,100.0,56.0,4.56
148,mbour,sn,14.41,-16.97,73.4,88.0,20.0,9.17
149,nabire,id,-3.36,135.5,73.56,91.0,92.0,1.81
150,walvis bay,na,-22.95,14.51,48.2,87.0,0.0,4.7
151,college,us,64.86,-147.8,80.6,30.0,75.0,14.99
152,saint-philippe,re,-21.36,55.77,66.9,52.0,0.0,9.17
153,kamaishi,jp,39.28,141.86,69.8,64.0,75.0,4.7
154,slave lake,ca,55.28,-114.77,77.0,50.0,75.0,4.7
155,alghero,it,40.56,8.32,64.4,93.0,0.0,2.24
156,hilo,us,19.71,-155.08,74.66,65.0,40.0,11.41
157,kaeo,nz,-35.1,173.78,55.2,77.0,0.0,10.83
158,vanavara,ru,60.35,102.28,71.31,54.0,56.0,4.61
159,talara,pe,-4.58,-81.27,64.74,91.0,0.0,5.5
160,beringovskiy,ru,63.05,179.32,46.2,99.0,12.0,5.57
162,gornopravdinsk,ru,60.06,69.92,59.79,79.0,12.0,5.84
163,brandon,us,43.59,-96.57,64.47,77.0,1.0,2.89
164,victor harbor,au,-35.55,138.62,57.2,99.0,0.0,9.17
165,kharp,ru,66.82,65.8,64.02,78.0,24.0,19.44
166,koratla,in,18.82,78.72,79.14,83.0,20.0,7.92
167,uthal,pk,25.81,66.62,83.91,81.0,48.0,3.6
168,sunrise manor,us,36.21,-115.07,106.36,3.0,1.0,11.41
169,butaritari,ki,3.07,172.79,83.46,100.0,36.0,10.09
170,ust-maya,ru,60.42,134.54,57.99,67.0,80.0,5.61
171,esperance,au,-33.86,121.89,56.01,91.0,92.0,6.13
172,ergani,tr,38.27,39.76,65.34,72.0,0.0,4.7
173,redencao,br,-8.35,-72.75,72.39,82.0,48.0,2.1
174,cherskiy,ru,68.75,161.3,63.93,42.0,0.0,2.71
175,atlantis,za,-33.57,18.5,57.2,93.0,75.0,11.41
176,morehead,pg,-8.71,141.64,83.73,73.0,20.0,18.21
177,ewa beach,us,21.32,-158.01,84.63,45.0,20.0,6.93
178,saint george,bm,32.38,-64.68,77.0,88.0,20.0,13.87
179,kontagora,ng,10.4,5.47,69.96,98.0,80.0,4.83
180,klaksvik,fo,62.23,-6.59,48.2,100.0,88.0,23.04
181,ayagoz,kz,47.96,80.43,79.86,28.0,0.0,5.28
182,saskylakh,ru,71.97,114.09,66.54,66.0,92.0,16.46
183,ustye,ru,58.76,27.79,58.26,100.0,88.0,20.67
184,djougou,bj,9.71,1.67,71.6,94.0,0.0,2.24
185,kruisfontein,za,-34.0,24.73,59.34,91.0,0.0,17.31
186,petropavlovsk-kamchatskiy,ru,53.05,158.65,48.2,81.0,75.0,6.71
187,bantry,ie,51.68,-9.45,51.6,97.0,0.0,9.37
188,boo,se,59.33,18.28,48.2,93.0,92.0,21.92
190,bambous virieux,mu,-20.34,57.76,69.8,94.0,40.0,2.24
191,kenai,us,60.55,-151.26,54.52,100.0,90.0,6.93
192,aracaju,br,-10.92,-37.08,77.0,78.0,20.0,10.29
193,celestun,mx,20.87,-90.4,82.74,96.0,0.0,15.97
195,zeya,ru,53.74,127.27,57.18,94.0,88.0,3.04
196,vyazma,ru,55.21,34.3,65.73,65.0,64.0,11.39
197,dwarka,in,28.58,77.04,95.0,44.0,20.0,5.82
198,dauphin,ca,51.15,-100.04,78.8,47.0,1.0,6.93
200,kisangani,cd,0.52,25.21,69.42,100.0,92.0,2.33
201,clyde river,ca,70.47,-68.59,35.6,100.0,90.0,11.41
203,ambilobe,mg,-13.19,49.05,58.17,83.0,0.0,3.71
204,namibe,ao,-15.19,12.15,68.07,100.0,0.0,8.3
207,cabo san lucas,mx,22.89,-109.91,75.96,32.0,5.0,14.79
208,bezhetsk,ru,57.78,36.69,67.35,64.0,36.0,11.54
210,poya,nc,-21.35,165.16,71.04,100.0,36.0,14.97
212,teya,ru,60.37,92.63,67.26,57.0,24.0,5.12
213,yerbogachen,ru,61.28,108.01,73.02,81.0,12.0,3.83
214,faanui,pf,-16.48,-151.75,78.51,100.0,76.0,15.79
215,hakkari,tr,37.58,44.17,45.84,74.0,0.0,1.77
219,manta,ec,-0.95,-80.73,71.6,88.0,20.0,6.93
220,viedma,ar,-40.81,-62.99,35.67,60.0,32.0,7.29
221,tiksi,ru,71.64,128.87,54.39,72.0,80.0,4.0
222,ereymentau,kz,51.62,73.1,69.87,62.0,80.0,4.56
224,cockburn town,tc,21.46,-71.14,83.37,95.0,56.0,10.65
225,castro,cl,-42.48,-73.76,48.09,100.0,92.0,10.94
226,chicama,pe,-7.84,-79.15,64.4,93.0,75.0,6.93
227,outjo,na,-20.11,16.16,39.09,68.0,0.0,3.38
229,socorro,us,31.65,-106.3,96.94,12.0,20.0,3.36
230,kirakira,sb,-10.46,161.92,83.01,100.0,24.0,18.21
231,columbus,us,32.46,-84.99,77.0,94.0,75.0,4.72
232,camacha,pt,33.08,-16.33,66.2,77.0,75.0,14.99
233,carinhanha,br,-14.3,-43.77,65.1,83.0,0.0,8.93
234,ilulissat,gl,69.22,-51.1,35.6,80.0,88.0,4.7
235,thompson,ca,55.74,-97.86,75.2,53.0,75.0,8.05
236,bridlington,gb,54.08,-0.19,48.11,76.0,0.0,5.82
237,mundybash,ru,53.21,87.28,74.82,52.0,48.0,5.28
238,anadyr,ru,64.73,177.51,59.0,44.0,20.0,11.18
239,teixeira,br,-7.22,-37.25,67.71,77.0,0.0,9.75
240,torbay,ca,47.66,-52.73,55.4,76.0,40.0,13.87
241,vardo,no,70.37,31.11,46.4,100.0,75.0,5.82
242,meulaboh,id,4.14,96.13,83.01,100.0,12.0,1.7
244,mae ramat,th,16.98,98.52,75.2,88.0,90.0,4.7
245,sao lourenco do sul,br,-31.37,-51.98,46.56,86.0,0.0,10.42
246,san buenaventura,mx,27.06,-101.55,74.64,79.0,88.0,3.56
247,mingshui,cn,22.81,109.89,87.96,74.0,48.0,12.66
248,muros,es,42.77,-9.06,62.6,93.0,20.0,2.24
249,voh,nc,-20.95,164.69,72.12,98.0,12.0,15.9
250,adrar,dz,27.87,-0.29,84.2,11.0,0.0,14.99
251,victoria,sc,-4.62,55.45,78.8,83.0,75.0,11.41
252,lodeynoye pole,ru,60.73,33.55,64.38,76.0,48.0,12.88
253,ulladulla,au,-35.36,150.48,59.0,51.0,0.0,4.7
254,sirur,in,18.83,74.38,72.75,99.0,92.0,10.38
255,te anau,nz,-45.41,167.72,38.28,100.0,56.0,3.49
256,abadan,ir,30.36,48.26,84.2,30.0,0.0,11.41
257,mayumba,ga,-3.44,10.65,72.12,99.0,76.0,8.81
258,aitape,pg,-3.15,142.36,82.92,92.0,68.0,6.4
259,bonavista,ca,48.65,-53.11,50.97,78.0,36.0,13.62
260,porbandar,in,21.64,69.61,85.26,77.0,92.0,12.95
261,umuarama,br,-23.76,-53.31,56.37,81.0,0.0,2.82
262,diego de almagro,cl,-26.39,-70.05,49.26,79.0,0.0,1.36
264,najran,sa,17.54,44.22,84.2,12.0,5.0,6.93
266,port elizabeth,za,-33.92,25.57,64.92,100.0,8.0,23.91
267,alice springs,au,-23.7,133.88,59.0,30.0,0.0,13.87
268,basco,ph,20.45,121.97,82.83,100.0,68.0,15.12
271,portmore,jm,17.97,-76.87,82.4,78.0,20.0,14.99
272,iqaluit,ca,63.75,-68.52,33.8,98.0,90.0,12.75
273,road town,vg,18.42,-64.62,80.6,74.0,1.0,10.29
274,sitka,us,37.17,-99.65,79.14,42.0,0.0,8.3
275,tarquinia,it,42.25,11.76,69.8,94.0,40.0,3.36
276,khatanga,ru,71.98,102.47,58.35,91.0,100.0,20.45
277,kavaratti,in,10.57,72.64,79.95,100.0,44.0,15.68
278,victoria,us,28.81,-97,78.8,88.0,90.0,6.93
279,port blair,in,11.67,92.75,84.0,97.0,88.0,16.42
280,kamenskiy,ru,50.89,45.49,66.72,56.0,0.0,6.85
281,andenes,no,69.31,16.12,46.4,93.0,75.0,3.36
282,pochutla,mx,15.74,-96.47,81.93,100.0,20.0,4.12
283,miranda de ebro,es,42.69,-2.95,64.85,88.0,75.0,1.48
284,bousso,td,10.48,16.71,72.39,92.0,8.0,3.22
286,san cristobal,ec,-1.02,-79.44,57.72,100.0,20.0,1.81
287,husavik,is,66.04,-17.34,53.6,66.0,0.0,11.41
288,sorland,no,67.67,12.69,46.4,93.0,40.0,5.82
289,tucurui,br,-3.77,-49.67,76.62,78.0,56.0,3.33
290,rokytne,ua,51.27,27.23,66.09,96.0,24.0,10.04
291,lagoa,pt,37.14,-8.45,69.8,83.0,0.0,5.82
292,alofi,nu,-19.06,-169.92,82.4,69.0,40.0,8.05
293,mende,fr,44.52,3.5,57.54,63.0,0.0,3.49
294,fukue,jp,35.03,136.69,77.0,44.0,75.0,3.36
295,kahului,us,20.89,-156.47,81.68,62.0,20.0,17.22
296,kosh-agach,ru,49.99,88.66,54.12,54.0,0.0,4.0
297,touros,br,-5.2,-35.46,78.78,78.0,92.0,14.63
299,singleton,au,-32.57,151.17,53.6,93.0,75.0,9.17
300,weiser,us,44.25,-116.97,82.4,34.0,1.0,5.82
301,hasaki,jp,35.73,140.83,78.13,69.0,75.0,8.05
302,falun,se,60.61,15.63,48.2,76.0,92.0,19.46
303,upernavik,gl,72.79,-56.15,33.42,92.0,88.0,2.21
304,santa elena,ec,-2.23,-80.86,71.6,88.0,0.0,4.7
305,ritchie,za,-29.03,24.6,35.6,64.0,0.0,2.24
306,dalvik,is,65.97,-18.53,53.6,66.0,0.0,11.41
307,arbuzynka,ua,47.91,31.32,68.79,76.0,36.0,2.82
308,pangnirtung,ca,66.15,-65.72,30.81,90.0,36.0,3.78
309,pamyat parizhskoy kommuny,ru,56.1,44.5,57.2,76.0,0.0,2.24
310,praia da vitoria,pt,38.73,-27.07,64.4,93.0,75.0,3.78
311,guerrero negro,mx,27.97,-114.04,64.38,85.0,0.0,10.27
312,batemans bay,au,-35.71,150.18,56.01,86.0,0.0,1.81
313,souillac,mu,-20.52,57.52,69.8,94.0,40.0,2.24
314,sola,vu,-13.88,167.55,80.76,96.0,64.0,14.34
315,ligayan,ph,4.65,119.47,82.47,100.0,56.0,12.44
317,tarko-sale,ru,64.92,77.78,64.11,87.0,76.0,16.91
318,kokino,ru,53.16,34.12,59.0,87.0,0.0,10.87
319,amiens,fr,49.89,2.3,42.73,87.0,0.0,8.05
320,nanakuli,us,21.39,-158.15,84.63,54.0,20.0,11.41
321,nowy dwor gdanski,pl,54.21,19.12,48.2,87.0,40.0,16.11
322,anloga,gh,5.79,0.9,75.2,94.0,40.0,8.05
323,lanja,in,16.84,73.55,70.32,100.0,100.0,3.04
324,chokurdakh,ru,70.62,147.9,57.9,88.0,0.0,9.86
325,cururupu,br,-1.82,-44.87,74.46,95.0,12.0,3.27
327,ostrovnoy,ru,68.05,39.51,50.16,91.0,8.0,4.83
328,atambua,id,-9.11,124.89,84.99,76.0,12.0,10.65
329,umm lajj,sa,25.02,37.27,89.76,54.0,0.0,19.33
330,longyearbyen,sj,78.22,15.64,41.0,75.0,20.0,10.29
331,lompoc,us,34.64,-120.46,59.02,87.0,75.0,10.29
332,aktau,kz,43.65,51.16,69.8,73.0,0.0,4.47
333,thanh hoa,vn,10.21,106.33,87.51,82.0,0.0,5.23
334,henties bay,na,-22.12,14.28,53.94,100.0,12.0,2.82
335,peleduy,ru,59.63,112.75,70.95,56.0,48.0,0.98
336,seoul,kr,37.57,126.98,83.84,26.0,75.0,6.93
337,damara,cf,4.96,18.7,73.4,88.0,0.0,4.56
338,ajdabiya,ly,30.75,20.22,66.27,81.0,8.0,5.79
339,port-gentil,ga,-0.72,8.78,74.19,100.0,0.0,12.55
340,mount isa,au,-20.73,139.49,73.4,25.0,0.0,8.05
342,rodrigues alves,br,-7.74,-72.65,69.8,94.0,0.0,1.54
343,portland,au,-33.35,149.98,52.41,59.0,0.0,2.89
344,amboasary,mg,-25.04,46.38,66.2,93.0,75.0,7.58
345,westport,nz,-41.75,171.6,49.62,82.0,48.0,2.26
346,rio grande,br,-32.03,-52.1,48.99,97.0,0.0,15.64
347,pizarro,co,4.95,-77.37,78.51,98.0,88.0,4.56
348,loreto,mx,22.27,-101.99,57.63,93.0,88.0,5.01
349,nisia floresta,br,-6.09,-35.21,73.4,83.0,20.0,6.93
350,tucupita,ve,9.06,-62.05,75.81,96.0,12.0,4.56
351,vestmannaeyjar,is,63.44,-20.27,48.54,100.0,92.0,20.22
352,flinders,au,-34.58,150.85,59.0,51.0,0.0,4.7
353,pelham,us,33.29,-86.81,77.0,83.0,1.0,5.82
354,vedea,ro,44.78,24.62,61.59,89.0,0.0,2.48
355,junqueiro,br,-9.92,-36.47,73.02,80.0,92.0,7.29
356,sao joao da barra,br,-21.64,-41.05,74.28,97.0,0.0,18.03
357,grimshaw,ca,56.19,-117.61,80.6,42.0,75.0,9.17
359,tateyama,jp,36.66,137.31,80.6,34.0,20.0,9.17
361,ariquemes,br,-9.91,-63.03,77.16,63.0,44.0,2.1
363,tabuk,sa,28.38,36.58,77.0,29.0,0.0,2.37
364,lazaro cardenas,mx,28.39,-105.62,87.8,22.0,5.0,14.99
365,lanzhou,cn,36.06,103.82,78.8,39.0,0.0,2.24
366,kamien pomorski,pl,53.97,14.77,48.2,87.0,0.0,9.17
367,rezzato,it,45.51,10.32,70.7,83.0,0.0,3.36
368,mantsala,fi,60.63,25.32,53.6,87.0,75.0,14.99
369,antofagasta,cl,-23.65,-70.4,55.4,76.0,90.0,3.36
371,carauari,br,-4.88,-66.9,74.46,93.0,36.0,3.04
372,linxia,cn,35.6,103.21,67.62,55.0,36.0,3.78
373,kuching,my,1.56,110.34,87.8,74.0,75.0,2.24
374,port hope,ca,43.95,-78.29,56.05,81.0,1.0,7.58
375,bahia honda,cu,22.9,-83.16,76.26,94.0,12.0,3.0
376,blois,fr,47.59,1.33,46.38,66.0,0.0,4.7
378,fairbanks,us,64.84,-147.72,80.6,30.0,75.0,14.99
379,saldanha,za,-33.01,17.94,57.2,87.0,64.0,6.93
380,wanning,cn,18.8,110.4,83.19,100.0,36.0,15.41
381,bartica,gy,6.41,-58.62,75.2,94.0,20.0,1.88
382,atar,mr,20.52,-13.05,85.26,28.0,20.0,8.52
383,mehamn,no,71.03,27.85,44.6,93.0,90.0,5.82
384,eyl,so,7.98,49.82,80.4,77.0,0.0,23.73
385,antalaha,mg,-14.9,50.28,70.05,91.0,44.0,12.33
386,gander,ca,48.95,-54.61,55.4,82.0,40.0,11.41
387,key west,us,47.93,-96.78,77.02,57.0,1.0,6.4
388,kaikalur,in,16.57,81.2,86.0,79.0,90.0,10.83
389,baykit,ru,61.68,96.39,59.61,79.0,36.0,6.8
390,thinadhoo,mv,0.53,72.93,83.82,100.0,56.0,9.26
391,yeppoon,au,-23.13,150.74,75.2,47.0,20.0,12.75
392,buldana,in,20.53,76.18,79.95,77.0,36.0,11.32
393,batagay,ru,67.65,134.64,75.99,48.0,0.0,4.23
394,mungaa,tz,-4.97,34.86,57.36,88.0,0.0,9.42
395,semporna,my,4.48,118.61,86.0,74.0,75.0,5.82
396,ventspils,lv,57.39,21.56,55.4,66.0,75.0,20.8
397,garowe,so,8.41,48.48,82.92,41.0,12.0,20.56
398,ekhabi,ru,53.51,142.97,44.85,100.0,92.0,14.29
399,adra,es,36.75,-3.02,69.8,52.0,0.0,1.12
400,kushima,jp,31.5,131.29,79.79,83.0,75.0,9.17
401,turukhansk,ru,65.8,87.96,62.67,74.0,68.0,12.88
402,okhotsk,ru,59.36,143.24,47.64,99.0,92.0,7.74
403,sobolevo,ru,54.43,31.9,69.06,71.0,20.0,14.79
404,banda aceh,id,5.56,95.32,84.72,75.0,20.0,3.04
405,hede,cn,33.77,120.25,81.39,61.0,88.0,6.73
406,fare,pf,-16.7,-151.02,78.78,100.0,80.0,19.04
407,qinhuangdao,cn,39.94,119.59,85.35,57.0,80.0,6.06
408,skelleftea,se,64.75,20.95,51.8,71.0,92.0,10.29
409,porto walter,br,-8.27,-72.74,72.39,82.0,48.0,2.1
411,coihaique,cl,-45.58,-72.07,37.22,93.0,90.0,3.36
412,yarmouth,ca,43.84,-66.12,53.6,76.0,20.0,9.17
414,canberra,au,-35.3,149.1,50.0,57.0,0.0,3.36
415,wanaka,nz,-44.7,169.14,36.57,88.0,8.0,2.37
416,pokhara,np,28.21,83.99,60.69,90.0,100.0,2.89
417,dingzhou,cn,38.51,115,84.2,48.0,0.0,2.24
418,san andres,co,8.22,-76.58,78.69,100.0,64.0,4.5
419,amazar,ru,53.86,120.88,65.1,54.0,0.0,7.92
422,mandvi,in,21.25,73.3,86.52,74.0,76.0,9.86
423,yakeshi,cn,49.28,120.73,76.62,80.0,0.0,6.29
424,sao filipe,cv,14.9,-24.5,72.3,100.0,0.0,13.67
425,soyo,ao,-6.13,12.37,69.42,99.0,80.0,4.61
426,iskateley,ru,67.68,53.15,40.17,86.0,36.0,11.43
430,murgab,tm,37.5,61.97,73.4,35.0,0.0,6.93
431,guisa,cu,20.25,-76.54,75.2,94.0,75.0,4.7
432,bethel,us,60.79,-161.76,51.8,87.0,90.0,20.8
434,eseka,cm,3.65,10.77,70.32,97.0,56.0,2.37
436,haines junction,ca,60.75,-137.51,62.49,41.0,0.0,4.12
437,ambon,id,-3.7,128.18,78.8,88.0,75.0,8.05
439,todos santos,mx,23.45,-110.23,74.77,32.0,5.0,8.37
440,lunenburg,ca,44.38,-64.32,54.93,93.0,68.0,7.36
441,bemidji,us,47.48,-94.89,68.76,68.0,1.0,5.01
442,erdenet,mn,49.03,104.04,67.26,71.0,80.0,3.71
443,ploemeur,fr,47.73,-3.43,50.0,93.0,0.0,10.29
444,tual,id,-5.67,132.75,79.41,100.0,68.0,12.55
446,kaduy,ru,59.2,37.15,61.95,80.0,0.0,12.55
447,sistranda,no,63.73,8.83,48.2,81.0,75.0,18.34
448,zarubino,ru,42.65,131.06,72.66,62.0,0.0,4.27
449,lima,pe,-12.06,-77.04,52.41,88.0,12.0,2.04
450,san jose,gt,16.98,-89.9,70.77,100.0,76.0,3.83
451,santa rosalia,mx,28.71,-111.6,95.0,23.0,5.0,9.17
453,dunedin,nz,-45.87,170.5,40.71,90.0,0.0,2.89
454,provideniya,ru,64.42,-173.23,48.2,81.0,90.0,15.66
455,imeni zhelyabova,ru,58.95,36.6,63.12,77.0,8.0,9.75
456,hamilton,bm,32.3,-64.78,77.0,88.0,20.0,13.87
460,abashiri,jp,44.01,144.25,68.0,64.0,75.0,3.36
461,mandera,ke,3.94,41.87,79.68,58.0,20.0,13.56
462,sharan,ru,54.82,54,61.41,54.0,36.0,17.43
463,inhambane,mz,-23.87,35.38,65.01,100.0,0.0,4.12
